front,back
"Soit K un corps et E un ensemble muni&nbsp;<div><br /></div><div>1. {{c1::d'une loi de composition interne notée (+) et telle que (E, +) soit un groupe commutatif.}}</div><div><br /></div><div>2. {{c2::d'une loi de composition externe notée par juxtaposition [$]\begin{aligned} K \times E &amp;\to E \\ (\lambda,&nbsp;\overrightarrow{x}) &amp;\mapsto \lambda&nbsp;\overrightarrow{x} \end{aligned}[/$] et}} vérifiant</div><div><br /></div><div>&nbsp; &nbsp; (a) {{c3::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha + \beta)\overrightarrow{x} = \alpha&nbsp;\overrightarrow{x} + \beta&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (b) {{c4::[$]\forall (\alpha) \in K, \forall (\overrightarrow{x},&nbsp;\overrightarrow{y}) \in E^2,\; \alpha(\overrightarrow{x} +&nbsp;\overrightarrow{y}) = \alpha&nbsp;\overrightarrow{x} + \alpha&nbsp;\overrightarrow{y}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (c)&nbsp;{{c5::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha \beta)\overrightarrow{x} = \alpha( \beta&nbsp;\overrightarrow{x})[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (d) {{c6::[$]\forall&nbsp;\overrightarrow{x} \in E,\; 1_{K}&nbsp;\overrightarrow{x} =&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>On dit alors que (E, +, loi externe) est {{c7::un espace vectoriel sur K ou un K-espace-vectoriel.}}</div><div><br /></div><div>Les éléments de E sont appelés {{c8::vecteurs}} et les éléments de K sont appelés {{c9::scalaires}}.</div>",
"Soit K un corps et E un ensemble muni&nbsp;<div><br /></div><div>1. {{c1::d'une loi de composition interne notée (+) et telle que (E, +) soit un groupe commutatif.}}</div><div><br /></div><div>2. {{c2::d'une loi de composition externe notée par juxtaposition [$]\begin{aligned} K \times E &amp;\to E \\ (\lambda,&nbsp;\overrightarrow{x}) &amp;\mapsto \lambda&nbsp;\overrightarrow{x} \end{aligned}[/$] et}} vérifiant</div><div><br /></div><div>&nbsp; &nbsp; (a) {{c3::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha + \beta)\overrightarrow{x} = \alpha&nbsp;\overrightarrow{x} + \beta&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (b) {{c4::[$]\forall (\alpha) \in K, \forall (\overrightarrow{x},&nbsp;\overrightarrow{y}) \in E^2,\; \alpha(\overrightarrow{x} +&nbsp;\overrightarrow{y}) = \alpha&nbsp;\overrightarrow{x} + \alpha&nbsp;\overrightarrow{y}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (c)&nbsp;{{c5::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha \beta)\overrightarrow{x} = \alpha( \beta&nbsp;\overrightarrow{x})[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (d) {{c6::[$]\forall&nbsp;\overrightarrow{x} \in E,\; 1_{K}&nbsp;\overrightarrow{x} =&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>On dit alors que (E, +, loi externe) est {{c7::un espace vectoriel sur K ou un K-espace-vectoriel.}}</div><div><br /></div><div>Les éléments de E sont appelés {{c8::vecteurs}} et les éléments de K sont appelés {{c9::scalaires}}.</div>",
"Soit K un corps et A un ensemble muni&nbsp;<div><br /></div><div>- de deux lois de composition internes (+) et (.)</div><div>- d'une loi de composition externe notée par juxtaposition [$]\begin{aligned} K \times E &amp;\to E \\ (\lambda,&nbsp;\overrightarrow{x}) &amp;\mapsto \lambda&nbsp;\overrightarrow{x} \end{aligned}[/$]</div><div><br /></div><div>telles que&nbsp;</div><div><br /></div><div>1. {{c5::(A, + , loi externe) soit un espace vectoriel sur K}}</div><div><br /></div><div>2. {{c4::(A, +, . ) soit un anneau}}</div><div><br /></div><div>3. {{c3::La loi externe soit compatible avec (.),}} c'est à dire ;&nbsp;</div><div><br /></div><div>{{c2::[$]\forall \lambda \in K, \forall (x,y) \in A^2, (\lambda x) . y = \lambda (x.y)= x. (\lambda y)[/$]}}</div><div><br /></div><div>On dit alors que (A, +, loi externe) est {{c1::une algèbre sur K ou une K-algèbre}}.</div>",
"Soit K un corps et A un ensemble muni&nbsp;<div><br /></div><div>- de deux lois de composition internes (+) et (.)</div><div>- d'une loi de composition externe notée par juxtaposition [$]\begin{aligned} K \times E &amp;\to E \\ (\lambda,&nbsp;\overrightarrow{x}) &amp;\mapsto \lambda&nbsp;\overrightarrow{x} \end{aligned}[/$]</div><div><br /></div><div>telles que&nbsp;</div><div><br /></div><div>1. {{c5::(A, + , loi externe) soit un espace vectoriel sur K}}</div><div><br /></div><div>2. {{c4::(A, +, . ) soit un anneau}}</div><div><br /></div><div>3. {{c3::La loi externe soit compatible avec (.),}} c'est à dire ;&nbsp;</div><div><br /></div><div>{{c2::[$]\forall \lambda \in K, \forall (x,y) \in A^2, (\lambda x) . y = \lambda (x.y)= x. (\lambda y)[/$]}}</div><div><br /></div><div>On dit alors que (A, +, loi externe) est {{c1::une algèbre sur K ou une K-algèbre}}.</div>",
"Soit K un corps et A un ensemble muni&nbsp;<div><br /></div><div>- de deux lois de composition internes (+) et (.)</div><div>- d'une loi de composition externe notée par juxtaposition [$]\begin{aligned} K \times E &amp;\to E \\ (\lambda,&nbsp;\overrightarrow{x}) &amp;\mapsto \lambda&nbsp;\overrightarrow{x} \end{aligned}[/$]</div><div><br /></div><div>telles que&nbsp;</div><div><br /></div><div>1. {{c5::(A, + , loi externe) soit un espace vectoriel sur K}}</div><div><br /></div><div>2. {{c4::(A, +, . ) soit un anneau}}</div><div><br /></div><div>3. {{c3::La loi externe soit compatible avec (.),}} c'est à dire ;&nbsp;</div><div><br /></div><div>{{c2::[$]\forall \lambda \in K, \forall (x,y) \in A^2, (\lambda x) . y = \lambda (x.y)= x. (\lambda y)[/$]}}</div><div><br /></div><div>On dit alors que (A, +, loi externe) est {{c1::une algèbre sur K ou une K-algèbre}}.</div>",
"Soit K un corps et A un ensemble muni&nbsp;<div><br /></div><div>- de deux lois de composition internes (+) et (.)</div><div>- d'une loi de composition externe notée par juxtaposition [$]\begin{aligned} K \times E &amp;\to E \\ (\lambda,&nbsp;\overrightarrow{x}) &amp;\mapsto \lambda&nbsp;\overrightarrow{x} \end{aligned}[/$]</div><div><br /></div><div>telles que&nbsp;</div><div><br /></div><div>1. {{c5::(A, + , loi externe) soit un espace vectoriel sur K}}</div><div><br /></div><div>2. {{c4::(A, +, . ) soit un anneau}}</div><div><br /></div><div>3. {{c3::La loi externe soit compatible avec (.),}} c'est à dire ;&nbsp;</div><div><br /></div><div>{{c2::[$]\forall \lambda \in K, \forall (x,y) \in A^2, (\lambda x) . y = \lambda (x.y)= x. (\lambda y)[/$]}}</div><div><br /></div><div>On dit alors que (A, +, loi externe) est {{c1::une algèbre sur K ou une K-algèbre}}.</div>",
"Soit K un corps et A un ensemble muni&nbsp;<div><br /></div><div>- de deux lois de composition internes (+) et (.)</div><div>- d'une loi de composition externe notée par juxtaposition [$]\begin{aligned} K \times E &amp;\to E \\ (\lambda,&nbsp;\overrightarrow{x}) &amp;\mapsto \lambda&nbsp;\overrightarrow{x} \end{aligned}[/$]</div><div><br /></div><div>telles que&nbsp;</div><div><br /></div><div>1. {{c5::(A, + , loi externe) soit un espace vectoriel sur K}}</div><div><br /></div><div>2. {{c4::(A, +, . ) soit un anneau}}</div><div><br /></div><div>3. {{c3::La loi externe soit compatible avec (.),}} c'est à dire ;&nbsp;</div><div><br /></div><div>{{c2::[$]\forall \lambda \in K, \forall (x,y) \in A^2, (\lambda x) . y = \lambda (x.y)= x. (\lambda y)[/$]}}</div><div><br /></div><div>On dit alors que (A, +, loi externe) est {{c1::une algèbre sur K ou une K-algèbre}}.</div>",
"Si [$]f \in \mathcal{F} (I, \mathbb{R}) \; , a \in \overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extremité de I. On dit que f possède une limite au point a si&nbsp;{{c1::il existe [$]l \in \mathbb{R}[/$] tel que&nbsp;<div><br /></div><div>[$]\forall \varepsilon &gt; 0 \; , \exists \alpha &gt; 0, \forall x \in I, |x-a| \leq \alpha&nbsp;&nbsp;\Rightarrow &nbsp;| f(x) - l | \leq \varepsilon[/$]</div>}}",
"Soit [$]f \in \mathcal{F} (I, \mathbb{R})[/$]. On dit que f admet un maximum sur I si {{c1:: f(I) possède un plus grand élément, c'est à dire si&nbsp;<div><br /></div><div>[$]\exists a \in I, \forall x \in I, f(x) \leq f(a)[/$]</div>}}",
"Soit [$]f \in \mathcal{F} (I, \mathbb{R})[/$]. On appelle borne supérieure de f et on note [$]sup_{x \in I} f(x) [/$] {{c1::la borne supérieure de f(I).}}&nbsp;",
"On dit que&nbsp;[$]f \in \mathcal{F} (I, \mathbb{R})[/$] est croissante si&nbsp;<div><br /></div><div>{{c1::[$]\forall (x,y) \in I^2, x \leq y &nbsp;\Leftrightarrow f(x) \leq f(y)[/$]}}</div>",
"On dit que &nbsp;[$]f \in \mathcal{F} (I, \mathbb{R})[/$] possède une limite finie en [$]+ \infty[/$] si&nbsp;{{c1::il existe [$]l \in \mathbb{R}[/$] tel que&nbsp;<div><br /></div><div><div>[$]\forall \varepsilon &gt; 0 \; , \exists A &gt; 0, \forall x \in I, x \geq A&nbsp;&nbsp;\Rightarrow &nbsp;| f(x) - l | \leq \varepsilon[/$]</div></div>}}",
"On dit que &nbsp;[$]f \in \mathcal{F} (I, \mathbb{R})[/$] diverge vers [$]+ \infty[/$] au point a, extrémité de I, si {{c1::il existe [$]l \in \mathbb{R}[/$] tel que&nbsp;<div><br /></div><div><div>[$]\forall B &gt; 0 \; , \exists \alpha &gt; 0, \forall x \in I, |x - a| \leq \alpha &nbsp;\Rightarrow f(x) \geq B[/$]</div></div>}}",
"On dit que &nbsp;[$]f \in \mathcal{F} (I, \mathbb{R})[/$] diverge vers [$]+ \infty[/$] en&nbsp;&nbsp;[$]+ \infty[/$]&nbsp;si&nbsp;{{c1::<div><br /></div><div><div>[$]\forall B &gt; 0 \; , \exists A &gt; 0, \forall x \in I, x \geq A&nbsp;&nbsp;\Rightarrow &nbsp;f(x) \geq B[/$]</div></div>}}",
"Soit&nbsp;[$]f \in \mathcal{F} (I, \mathbb{R}) [/$] et [$]a \in \overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extrémité de I.<div><br /></div><div>Si&nbsp;[$]\lim_{x \rightarrow a } f(x) = l \in \mathbb{R}[/$] , alors pour toute suite [$](x_n)_{n \in \mathbb{N} }[/$] d'éléments de I qui convergent vers a,</div><div><br /></div><div>{{c1::[$]\lim_{n \rightarrow +\infty } f(x_n) = l[/$]}}</div>",
"Soit [$]f \in \mathcal{F} (I, \mathbb{R})[/$] et [$]a \in \overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extrémité de I. Si {{c1::f admet une limite finie en a}}, alors {{c2::f est bornée au voisinage de a}}.&nbsp;",
"Soit [$]f \in \mathcal{F} (I, \mathbb{R})[/$] et [$]a \in \overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extrémité de I. Si {{c1::f admet une limite finie en a}}, alors {{c2::f est bornée au voisinage de a}}.&nbsp;",
"Si [$]f \in \mathcal{F} (I, \mathbb{R}) \; , a \in \overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extremité de I. On dit que f possède une limite à droite au point a si&nbsp;{{c1::il existe [$]l \in \mathbb{R}[/$] tel que&nbsp;<div><br /></div><div>[$]\forall \varepsilon &gt; 0 \; , \exists \alpha &gt; 0, \forall x \in I, a &lt; x &lt; a+ \alpha&nbsp;&nbsp;\Rightarrow &nbsp;| f(x) - l | \leq \varepsilon[/$]</div>}}",
"Soit&nbsp;[$]f \in \mathcal{F} (I, \mathbb{R})[/$] et&nbsp;[$]g \in \mathcal{F} (I, \mathbb{R})[/$] et&nbsp;[$]a \in \overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extrémité de I.<div><br /></div><div>Si&nbsp;[$]\lim_{x \rightarrow a } f(x)=l \in \mathbb{R} [/$] et &nbsp;[$]\lim_{x \rightarrow a } g(x)=m \in \mathbb{R}[/$]</div><div><br /></div><div>1: f+g admet comme limite {{c1::l+m}} au point a&nbsp;</div><div>2: fg admet comme limite {{c2::lm}} au point a&nbsp;</div><div>3: pour tout [$]\lambda \in \mathbb{R}[/$], [$]\lambda f[/$] admet comme limite {{c3::[$]\lambda l[/$]}} au point a&nbsp;</div><div>4: |f| admet comme limite {{c4::|l|}} au point a</div><div>5: si [$]l \neq 0, \frac{1}{f}[/$] définie sur un voisinage de a admet comme limite {{c5::[$]\frac{1}{l}[/$]}} au point a.</div>",
"Soit&nbsp;[$]f \in \mathcal{F} (I, \mathbb{R})[/$] et&nbsp;[$]g \in \mathcal{F} (I, \mathbb{R})[/$] et&nbsp;[$]a \in \overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extrémité de I.<div><br /></div><div>Si&nbsp;[$]\lim_{x \rightarrow a } f(x)=l \in \mathbb{R} [/$] et &nbsp;[$]\lim_{x \rightarrow a } g(x)=m \in \mathbb{R}[/$]</div><div><br /></div><div>1: f+g admet comme limite {{c1::l+m}} au point a&nbsp;</div><div>2: fg admet comme limite {{c2::lm}} au point a&nbsp;</div><div>3: pour tout [$]\lambda \in \mathbb{R}[/$], [$]\lambda f[/$] admet comme limite {{c3::[$]\lambda l[/$]}} au point a&nbsp;</div><div>4: |f| admet comme limite {{c4::|l|}} au point a</div><div>5: si [$]l \neq 0, \frac{1}{f}[/$] définie sur un voisinage de a admet comme limite {{c5::[$]\frac{1}{l}[/$]}} au point a.</div>",
"Soit&nbsp;[$]f \in \mathcal{F} (I, \mathbb{R})[/$] et&nbsp;[$]g \in \mathcal{F} (I, \mathbb{R})[/$] et&nbsp;[$]a \in \overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extrémité de I.<div><br /></div><div>Si&nbsp;[$]\lim_{x \rightarrow a } f(x)=l \in \mathbb{R} [/$] et &nbsp;[$]\lim_{x \rightarrow a } g(x)=m \in \mathbb{R}[/$]</div><div><br /></div><div>1: f+g admet comme limite {{c1::l+m}} au point a&nbsp;</div><div>2: fg admet comme limite {{c2::lm}} au point a&nbsp;</div><div>3: pour tout [$]\lambda \in \mathbb{R}[/$], [$]\lambda f[/$] admet comme limite {{c3::[$]\lambda l[/$]}} au point a&nbsp;</div><div>4: |f| admet comme limite {{c4::|l|}} au point a</div><div>5: si [$]l \neq 0, \frac{1}{f}[/$] définie sur un voisinage de a admet comme limite {{c5::[$]\frac{1}{l}[/$]}} au point a.</div>",
"Soit&nbsp;[$]f \in \mathcal{F} (I, \mathbb{R})[/$] et&nbsp;[$]g \in \mathcal{F} (I, \mathbb{R})[/$] et&nbsp;[$]a \in \overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extrémité de I.<div><br /></div><div>Si&nbsp;[$]\lim_{x \rightarrow a } f(x)=l \in \mathbb{R} [/$] et &nbsp;[$]\lim_{x \rightarrow a } g(x)=m \in \mathbb{R}[/$]</div><div><br /></div><div>1: f+g admet comme limite {{c1::l+m}} au point a&nbsp;</div><div>2: fg admet comme limite {{c2::lm}} au point a&nbsp;</div><div>3: pour tout [$]\lambda \in \mathbb{R}[/$], [$]\lambda f[/$] admet comme limite {{c3::[$]\lambda l[/$]}} au point a&nbsp;</div><div>4: |f| admet comme limite {{c4::|l|}} au point a</div><div>5: si [$]l \neq 0, \frac{1}{f}[/$] définie sur un voisinage de a admet comme limite {{c5::[$]\frac{1}{l}[/$]}} au point a.</div>",
"Soit&nbsp;[$]f \in \mathcal{F} (I, \mathbb{R})[/$] et&nbsp;[$]g \in \mathcal{F} (I, \mathbb{R})[/$] et&nbsp;[$]a \in \overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extrémité de I.<div><br /></div><div>Si&nbsp;[$]\lim_{x \rightarrow a } f(x)=l \in \mathbb{R} [/$] et &nbsp;[$]\lim_{x \rightarrow a } g(x)=m \in \mathbb{R}[/$]</div><div><br /></div><div>1: f+g admet comme limite {{c1::l+m}} au point a&nbsp;</div><div>2: fg admet comme limite {{c2::lm}} au point a&nbsp;</div><div>3: pour tout [$]\lambda \in \mathbb{R}[/$], [$]\lambda f[/$] admet comme limite {{c3::[$]\lambda l[/$]}} au point a&nbsp;</div><div>4: |f| admet comme limite {{c4::|l|}} au point a</div><div>5: si [$]l \neq 0, \frac{1}{f}[/$] définie sur un voisinage de a admet comme limite {{c5::[$]\frac{1}{l}[/$]}} au point a.</div>",
"Soit I et J deux intervalles de [$]\mathbb{R}[/$] contenant au moins deux points distincts et [$]f \in \mathcal{F} (I, \mathbb{R})[/$], [$]g \in \mathcal{F} (I, \mathbb{R})[/$] avec [$]f(I) \subset J[/$] et&nbsp;<div>[$]a \in \overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extrémité de I.<div>[$]b \in \overline{\mathbb{R} }[/$] tel que [$]b \in J[/$] ou b extrémité de J.</div></div><div><br /></div><div>Si&nbsp;{{c2::[$]\lim_{x \rightarrow a } f(x) = b[/$] et&nbsp;[$]\lim_{y \rightarrow b } g(y) = l \in \mathbb{R}[/$]}}, alors &nbsp;{{c1::[$]\lim_{x \rightarrow a } g(f(x)) = l[/$]}}</div>",
"Soit I et J deux intervalles de [$]\mathbb{R}[/$] contenant au moins deux points distincts et [$]f \in \mathcal{F} (I, \mathbb{R})[/$], [$]g \in \mathcal{F} (I, \mathbb{R})[/$] avec [$]f(I) \subset J[/$] et&nbsp;<div>[$]a \in \overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extrémité de I.<div>[$]b \in \overline{\mathbb{R} }[/$] tel que [$]b \in J[/$] ou b extrémité de J.</div></div><div><br /></div><div>Si&nbsp;{{c2::[$]\lim_{x \rightarrow a } f(x) = b[/$] et&nbsp;[$]\lim_{y \rightarrow b } g(y) = l \in \mathbb{R}[/$]}}, alors &nbsp;{{c1::[$]\lim_{x \rightarrow a } g(f(x)) = l[/$]}}</div>",
"On dit que&nbsp;[$]f \in \mathcal{F} (I, \mathbb{R})[/$] est continue en [$]a \in I[/$] si&nbsp;<div>&nbsp;</div><div>{{c1::[$]\forall \varepsilon &gt; 0 \; , \exists \alpha &gt; 0, \forall x \in I, |x-a| \leq \alpha&nbsp;&nbsp;\Rightarrow &nbsp;| f(x) - f(a) | \leq \varepsilon[/$]}}</div><div><br /></div>",
<u>Caractérisation de la continuité&nbsp;</u><div><u><br /></u></div><div>1 : f est continue en a ssi&nbsp;{{c1::[$]\lim_{x \rightarrow a } f(x) = f(a)[/$]}}</div><div>2 : f est continue en a ssi {{c2::f possède une limite en a&nbsp;}}</div>,
<u>Caractérisation de la continuité&nbsp;</u><div><u><br /></u></div><div>1 : f est continue en a ssi&nbsp;{{c1::[$]\lim_{x \rightarrow a } f(x) = f(a)[/$]}}</div><div>2 : f est continue en a ssi {{c2::f possède une limite en a&nbsp;}}</div>,
"Soit&nbsp;[$]f \in \mathcal{F} (I, \mathbb{R}) [/$] et [$]a \in \overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extrémité de I tel que f soit continue en a.&nbsp;<div><br /></div><div>Pour toute suite [$](x_n)_{n \in \mathbb{N} }[/$] d'éléments de [$]\mathbb{R}[/$] qui convergent vers a,</div><div><br /></div><div>{{c1::[$]\lim_{n \rightarrow +\infty } f(x_n) = f(a)[/$]}}</div>",
"Soit [$]f \in \mathcal{F} (I, \mathbb{R}) \; ,a \in I[/$]. On dit que f est continue à droite au point a si&nbsp;{{c1::<div><br></div><div>[$]\forall \varepsilon &gt; 0 \; , \exists \alpha &gt; 0, \forall x \in I, a \leq x \leq a+ \alpha&nbsp;&nbsp;\Rightarrow &nbsp;| f(x) - f(a) | \leq \varepsilon[/$]</div>}}",
"Soit [$]f \in \mathcal{F} (I, \mathbb{R}) \; ,a \in I [/$]. On dit que f est continue à gauche au point a si&nbsp;{{c1::<div><br></div><div>[$]\forall \varepsilon &gt; 0 \; , \exists \alpha &gt; 0, \forall x \in I, a - \alpha \leq x \leq a &nbsp;\Rightarrow &nbsp;| f(x) - f(a) | \leq \varepsilon[/$]</div>}}",
"Soit [$]a \in \mathbb{R}[/$] et [$]c \in \overline{ \mathbb{R} }[/$] tel que a&lt;c.<div><br /></div><div>&nbsp;[$$]si \quad f : ] a ; c ) \rightarrow \mathbb{R}\; \;et \; \lim_{ \underset{x &gt; a}{x \rightarrow a&nbsp;} } f(x) = l, \quad alors[/$$]&nbsp;</div><div><br /></div><div>{{c1::[$$]\begin{aligned}&nbsp;</div><div>\overline{f} : &nbsp;[ a ; c ) &nbsp;\rightarrow &amp;\mathbb{R} &nbsp;\\&nbsp;</div><div>x &nbsp;\rightarrow &nbsp;&amp;f(x) \; si &nbsp;\; x &gt; a &nbsp; \\&nbsp;</div><div>&nbsp;&amp;l \; si \; x =a &nbsp;</div><div>\end{aligned}[/$$] }}</div><div><br /></div><div>est le seul prolongement de f à [a ; c ) qui soit continue en a et [$]\overline{f}[/$] est appelé prolongement par continuité de f au point a.</div><div><br /></div><div><br /></div>",
"Soit [$]a \in \mathring{I}[/$] et [$]f : I&nbsp;\setminus \{a\} \rightarrow \mathbb{R}[/$] tel que<div><br /></div><div>&nbsp;[$$]\lim_{ \underset{x &gt; a}{x \rightarrow a&nbsp;} } f(x)&nbsp;=&nbsp;\lim_{ \underset{x &lt; a}{x \rightarrow a&nbsp;} } f(x) =&nbsp;\lim_{ \underset{x \neq a}{x \rightarrow a&nbsp;} } f(x) \in \mathbb{R}[/$$]<div><br /></div><div>La fonction &nbsp;[$]\overline{f} &nbsp;: I \rightarrow \mathbb{R}[/$] &nbsp;définie par &nbsp;</div><div><br /></div><div>{{c1::[$$]<div>\begin{aligned}&nbsp;</div><div>&amp; \forall x \in I \setminus \{a\}, \overline{f}(x) = f(x) \\</div><div>&amp; \overline{f}(a) =&nbsp;\lim_{ \underset{x \neq a}{x \rightarrow a&nbsp;} } f(x)</div><div>\end{aligned}</div>[/$$]}}</div><div><br /></div><div>est l'unique prolongement de f à I qui soit continu au point a et f est appelé prolongement par continuité de f au point a.&nbsp;</div></div>",
"Soit a [$]\in&nbsp;\overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extrémité de I, et [$]f, g : I \to \mathbb{R}[/$] tel que&nbsp;<div><br /></div><div>{{c2::</div><div>[$]\forall x \in I, f(x) \leq g(x)[/$]</div><div><br /></div><div>Si [$$]\lim_{x \rightarrow a} f(x) = l \in \mathbb{R} \quad et \; \lim_{x \rightarrow a} g(x) = m \in \mathbb{R},[/$$] }}</div><div><br /></div><div>alors {{c1::[$]l \leq m[/$]}}</div>",
"Soit a [$]\in&nbsp;\overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extrémité de I, et [$]f, g : I \to \mathbb{R}[/$] tel que&nbsp;<div><br /></div><div>{{c2::</div><div>[$]\forall x \in I, f(x) \leq g(x)[/$]</div><div><br /></div><div>Si [$$]\lim_{x \rightarrow a} f(x) = l \in \mathbb{R} \quad et \; \lim_{x \rightarrow a} g(x) = m \in \mathbb{R},[/$$] }}</div><div><br /></div><div>alors {{c1::[$]l \leq m[/$]}}</div>",
"<u>Théorème d'encadrement&nbsp;</u><div><u><br /></u></div><div>Soit a [$]\in&nbsp;\overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extrémité de I, et [$](f,g,h) \in ( \mathcal{F}(I,\mathbb{R} ) )^{3}[/$] tel que&nbsp;</div><div><br /></div>{{c2::<div>[$]\forall x \in I, f(x) \leq g(x) \leq h(x)[/$]</div><div><br /></div><div>Si f et h ont une limite commune au point a</div><div>}}, alors&nbsp;{{c1::</div><div>g possède une limite au point a et</div><div><br /></div><div>[$$]\lim_{x \rightarrow a} g(x) =&nbsp;\lim_{x \rightarrow a} f(x) =&nbsp;\lim_{x \rightarrow a} h(x)[/$$]</div>}}",
"<u>Théorème d'encadrement&nbsp;</u><div><u><br /></u></div><div>Soit a [$]\in&nbsp;\overline{\mathbb{R} }[/$] tel que [$]a \in I[/$] ou a extrémité de I, et [$](f,g,h) \in ( \mathcal{F}(I,\mathbb{R} ) )^{3}[/$] tel que&nbsp;</div><div><br /></div>{{c2::<div>[$]\forall x \in I, f(x) \leq g(x) \leq h(x)[/$]</div><div><br /></div><div>Si f et h ont une limite commune au point a</div><div>}}, alors&nbsp;{{c1::</div><div>g possède une limite au point a et</div><div><br /></div><div>[$$]\lim_{x \rightarrow a} g(x) =&nbsp;\lim_{x \rightarrow a} f(x) =&nbsp;\lim_{x \rightarrow a} h(x)[/$$]</div>}}",
"Soit a [$]\in&nbsp;\overline{\mathbb{R} }[/$] tel que [$]a \notin I[/$] et a extrémité droite de I.&nbsp;<div><br /></div><div>Si [$]f \in \mathcal{F} (I, \mathbb{R})[/$] est croissante sur I,&nbsp;<div><br /></div><div>alors ou bien {{c1::f est majorée et f possède une limite au point a}}, ou bien {{c2::f n'est pas majorée et f diverge vers + [$]\infty[/$] au point a&nbsp;}}</div></div>",
